Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition
Accident,Fatal(4),Destroyed,Airplane,Cessna,P210N,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC
Accident,Fatal(1),Destroyed,Airplane,Cessna,402A,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,IMC
Accident,Non-Fatal,Destroyed,Airplane,Douglas,Dc-3,2.0,Reciprocating,Unknown,0.0,0.0,2.0,0.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Piper,Pa-23-250,2.0,Reciprocating,Executive/corporate,0.0,1.0,2.0,0.0,IMC
Accident,Fatal(1),Destroyed,Airplane,Piper,Pa-28-235,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC
Accident,Fatal(1),Destroyed,Airplane,Grumman,Aa-1,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC
Accident,Non-Fatal,Destroyed,Airplane,Piper,Pa-32,1.0,Reciprocating,Personal,0.0,1.0,3.0,0.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Cessna,207,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Mooney,M-20,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Air Tractor,301,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC
Accident,Fatal(2),Destroyed,Airplane,Sons Mustang,Ii,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC
Incident,Incident,NOT KNOWN,Airplane,Dassault/Sud,Falcon 20,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Accident,Fatal(1),Destroyed,Airplane,Cessna,172,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,IMC
Accident,Fatal(2),Destroyed,Airplane,Mooney,M20C,1.0,Reciprocating,Personal,2.0,0.0,4.0,0.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Grumman,G-164A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,Fatal(2),Destroyed,Airplane,Mcdonnell Douglas,Dc-10-30,3.0,Turbo Fan,Unknown,2.0,4.0,24.0,182.0,IMC
Accident,Fatal(1),Destroyed,Airplane,Beech,A23A,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-32-300,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-34-200T,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC
Accident,Fatal(2),Substantial,Airplane,Piper,Pa-28-235,1.0,Reciprocating,Personal,2.0,0.0,4.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,150H,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-38-112,1.0,Reciprocating,Unknown,0.0,0.0,1.0,1.0,VMC
Accident,Fatal(7),Destroyed,Airplane,Robertson,C-402B,2.0,Reciprocating,Personal,7.0,0.0,0.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,NOT KNOWN
Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172Rg,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,177,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,Fatal(2),Destroyed,Airplane,Cessna,182M,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,NOT KNOWN
Accident,Non-Fatal,Substantial,Airplane,Cessna,152Ii,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Cessna,A188B,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-28-140,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Instructional,0.0,0.0,0.0,3.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Bellanca,7Gcbc,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Aeronca,7Bcm,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-38-112,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
